Nombre,Tipo de Facilidad,Numero de Lic,Dueño o Control,Tipo de Acreditacion/numero,Direccion,Telefono,Pueblo,Numero de Estaciones,Capacidad de Camamas Autorizadas,Capacidad de Camas en Uso
HOSPICIO EL NUEVO AMANECER - 04-06-009 - RIO GRANDE,Hospicio,17,Privado - Lucrativo - Corporación,Medicare,"Calle B, AA, Marginal Alturas de Río Grande",Teléfono: 787-888-7700,Pueblo: Río Grande,,,
CARIBBEAN HOSPICE CORPORATION - RIO PIEDRAS - 04-06-006,Hospicio,1,Privado - Lucrativo - Corporación,"Medicare, Medicaid, DEPTO DE SALUD DE PR (LEY 101)","Ave. Winston Churchill 153, Urb. Crown Hills",Teléfono: (809) 764-6555,Pueblo: San Juan,,,
The Millennium Institute for Advanced Nursing Care 11-06-072,Hospicio,44,Privado - Lucrativo - Corporación,Medicare,"Calle Cosme, Reparto San Lucas Entrada Sector Canejas",Teléfono: 787-708-0138,Pueblo: San Juan,,,
"DIVINA PRESENCIA HOSPICE, INC. - RIO PIEDRAS - 04-06-001",Hospicio,20,Privado - No Lucrativo- Corporación,"Medicare, JCAHO / 40-1547",Calle 27 SO #876 - Esq. Américo Miranda Urb. Las Lomas,Teléfono: 787-755-8000,Pueblo: San Juan,,,
"HOSPICIO LA MONSERRATE, INC.",Hospicio,48,Privado - No Lucrativo- Corporación,,AVENIDA QUINLICHI #14,Teléfono: (787)873-5998,Pueblo: Sabana Grande,,,
"HOSPICIO DEL OESTE, INC. - SAN GERMAN- 04-06-015",Hospicio,8,Privado - Lucrativo - Corporación,Medicare Medicaid,"Carr. PR- 2, Km. 170.9",Teléfono: 787-892-1820,Pueblo: San Germán,,,
CONDADO HOSPICE PROGRAM - HATO REY - 04-06-003,Hospicio,9,Privado - Lucrativo - Corporación,Medicare / 40-1521,Calle Juan P. Duarte Núm. 186 (altos/este),Teléfono: 787-758-4310,Pueblo: San Juan,,,
SERVICIOS DE SALUD EN EL HOGAR Y HOSPICIO SAN LUCAS TRUJILLO ALTO,Hospicio,42,Privado - No Lucrativo- Iglesia,Medicare / 40-1530,"Western Auto Plaza, Expreso Trujillo AltoBo. Las Cuevas",Teléfono: 787-833-8240,Pueblo: Trujillo Alto,,,
VEGA ALTA HOSPICE CARE - VEGA ALTA- 02-06-051,Hospicio,36,Privado - Lucrativo - Corporación,Medicare,PO Box 459,Teléfono: 787-270-4838,Pueblo: Vega Alta,,,
"HOSPICIO DIVINA MISERICORDIA, CORP.",Hospicio,43,Privado - Lucrativo - Corporación,,Ave. Muñoz Rivera #41,Teléfono: 787-516-3107,Pueblo: Vega Alta,,,
HOSPICIO DIVINO SALVADOR - VEGA BAJA - 03-06-001,Hospicio,31,Privado - Lucrativo - Corporación,Medicare,"Carr. 2, Km. 40.2, Plaza Jardines",Teléfono: 787-855-0411,Pueblo: Vega Baja,,,
"HOSPITAL COMUNITARIO BUEN SAMARITANO, INC. - AGUADILLA - 92-07-040",Hospital,1,Privado - No Lucrativo- Corporación,"Medicare, JCAHO / 40-0079","Carr. 111, Bo. Camaseyes",Teléfono: 787-658-0000,Pueblo: Aguadilla,,230,161
HOSPITAL GENERAL MENONITA -AIBONITO - 97-07-037,Hospital,31,Privado - No Lucrativo- Corporación,"Medicare, JCAHO / 40-0018","Calle José C. Vázquez, Bo. Caonillas",Teléfono: 787-735-8001,Pueblo: Aibonito,,150,150
HOSPITAL PAVIA ARECIBO - 94-07-161,Hospital,2,Privado - No Lucrativo- Corporación,"Medicare, JCAHO / 40-0087","Carr. 129 Ave. San Luis, Km. 0.7",Teléfono: 787-650-7272,Pueblo: Arecibo,,230,198
HOSPITAL LAFAYETTE,Hospital,34,Privado - Lucrativo- Corporación,Medicare / 40-0026,Carr. Núm. 753 Sector Cuatro Calles,Teléfono: 787-839-3232,Pueblo: Arroyo,,66,38
DOCTORS CENTER HOSPITAL - BAYAMON,Hospital,66,Privado - Lucrativo- Corporación,Medicare,"Calle J-9, Extensión Hermanos Dávila",Teléfono: 787-622-5420,Pueblo: Bayamón,,134,134
HOSPITAL HERMANOS MELENDEZ -BAYAMON,Hospital,35,Privado - Lucrativo- Corporación,"Medicare, JCAHO / 40-0032","Carr. Núm. 2, Km. 11.7",Teléfono: 787-620-8181,Pueblo: Bayamón,,274,274
CENTRO MEDICO CORRECCIONAL DE BAYAMON,Hospital,33,Gobierno Estatal,,Complejo Correccional de BayamónCarretera PR 28,Teléfono: 787-758-8019,Pueblo: Bayamón,,89,89
HOSPITAL HIMA SAN PABLO - BAYAMON,Hospital,12,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-0109","Calle Santa Cruz Núm. 70, Urb. Santa Cruz",Teléfono: 787 620-4762,Pueblo: Bayamón,,436,419
HOSPITAL UNIVERSITARIO DR. RAMÓN,Hospital,8,Gobierno Estatal,"Medicare, JCAHO / 40-0105","Ave. Laurel #100, Urb. Santa Juanita",Teléfono: 787-787-0179,Pueblo: Bayamón,,415,102
"PUERTO RICO CHILDREN''S HOSPITAL, INC. BAYAMON",Hospital,28,Privado - Lucrativo -Corporación,JCAHO,Carr. 2 Km. 11.9 Barrio Pájaros,Teléfono: 787-447-1378,Pueblo: Bayamón,,127,127
HOSPITAL PSIQUIÁTRICO DE CABO ROJO - CABO ROJO - 99-07-102,Hospital,70,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-4007",Ave. Muñoz Rivera 108,Teléfono: 787-851-2025,Pueblo: Cabo Rojo,,80,43
HOSPITAL DR. EDUARDO GARRIDO MORALES,Hospital,7,Gobierno Estatal,"Medicare, JCAHO / 40-0104","Carr. pr-172, Caguas a Cidra",Teléfono: 787-653-0550,Pueblo: Caguas,,373,120
HOSPITAL HIMA . SAN PABLO - CAGUAS -95-07-100,Hospital,13,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-0120","Ave. Luis Muñoz Marín, Urb. Mariolga",Teléfono: 787-653-1796,Pueblo: Caguas,,440,415
HOSPITAL UPR - CAROLINA - 90-07-079,Hospital,14,Gobierno Estatal -No Lucrativo -Corporación,"Medicare, JCAHO / 40012","Ave. 65 de Infantería, Km. 8.3",Teléfono: 787-757-1800,Pueblo: Carolina,,250,230
HOSPITAL GENERAL MENONITA CAYEY,Hospital,37,Privado - No Lucrativo -Corporación,"Medicare, JCAHO / 40-0013",BO. RINCON SECTOR LOMAS,Teléfono: 787-535-1001,Pueblo: Cayey,,262,262
FIRST HOSPITAL PANAMERICANO -CIDRA - 79-07-061,Hospital,16,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-4004","Km. 1.4, Carr. Núm. 187",Teléfono: 787-739-5555,Pueblo: Cidra,,165,165
CARIBBEAN MEDICAL CENTER -,Hospital,18,Privado - Lucrativo -Corporación,,Ave. Osvaldo Molina 151,Teléfono: 787-801-0081,Pueblo: Fajardo,,45,45
HOSPITAL HIMA SAN PABLO-FAJARDO -FAJARDO - 78-07-090,Hospital,4,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-4029",Ave. General Valero 404,Teléfono: 787-863-0505,Pueblo: Fajardo,,180,152
HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA - GUAYAMA - 94-07-089,Hospital,15,Privado - No Lucrativo -Corporación,"Medicare, JCAHO / 40-4048","Ave. Pedro Albizu Campos, Urb. La Hacienda",Teléfono: 787-686-0062,Pueblo: Guayama,,161,115
HOSPITAL SANTA ROSA - GUAYAMA -94-07-113,Hospital,39,Privado - No Lucrativo- Corporación,"Medicare, LEY 101 HOSPITALES DE PR / 40-0009",Bo. Machete,Teléfono: 787-864-0101,Pueblo: Guayama,,99,89
PROFESSIONAL HOSPITAL - GUAYNABO -,Hospital,58,Privado - Lucrativo -Corporación,Medicare,Ave. las Cumbres,Teléfono: (787)602-1500,Pueblo: Guaynabo,,54,54
HOSPITAL DEL MAESTRO - HATO REY -81-07-039,Hospital,42,Privado - No Lucrativo- Corporación,"Medicare, JCAHO ",Calle Sergio Cuevas Bustamante #55,Teléfono: 787-758-8383,Pueblo: San Juan,,255,178
HOSPITAL HIMA DE HUMACAO,Hospital,43,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-0005",Calle Font Martelo Núm.3,Teléfono: 787-656-2424,Pueblo: Humacao,,105,64
HOSPITAL RYDER MEMORIAL -HUMACAO - 96-07-087,Hospital,45,Privado - No Lucrativo- Corporación,Medicare,Font Martelo 317,Teléfono: 787-852-0768,Pueblo: Humacao,,173,165
HOSPITAL ORIENTE,Hospital,44,Privado - Lucrativo -Corporación,Medicare,Ave. Font Martelo 300,Teléfono: 787-852-0505,Pueblo: Humacao,,71,71
"HOSPITAL GENERAL CASTAÑER, INC. -LARES - 83-07-021",Hospital,46,Privado - No Lucrativo- Corporación,"Medicare, Medicaid","Carr. 135, Km. 64.2, Castañer",Teléfono: 787-829-5010,Pueblo: Lares,,33,24
MANATI MEDICAL CENTER DR. OTERO LOPEZ - MANATI (99-07-134),Hospital,19,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-0114","Calle Hernández Carrión, Núm. Urb. Atenas",Teléfono: 787-621-3700,Pueblo: Manatí,,278,239
DOCTORS' CENTER HOSPITAL - MANATI -00-07-058,Hospital,47,Privado - Lucrativo -Corporación,Medicare,"Carretera 2, Km. 47.7",Teléfono: 787 854-3322,Pueblo: Manatí,,250,250
HEALTHSOUTH REHABILITATION HOSPITAL OF MANATI - MANATI - 03-07-013,Hospital,11,Gobierno Municipal - No Lucrativo - Unión Obrera,Medicare / 40-3026,"Hospital Doctors Center, Carr. Estatal PR 2, Km. 47.7,",,Pueblo: Manatí,,40,40
HOSPITAL BELLA VISTA - MAYAGUEZ -83-07-003,Hospital,50,Privado - Lucrativo -Corporación,"Medicare,JCAHO / 40-0014","Carr. 349, Km. 2.9, Cerro Las Mesas",Teléfono: 787-834-6000,Pueblo: Mayagüez,,224,182
HOSPITAL PEREA MAYAGUEZ,Hospital,49,Privado - Lucrativo -Corporación,Medicare / 40-0123,Barsora Núm. 15,Teléfono: 787-834-0101,Pueblo: Mayagüez,,153,116
HOSPITAL SAN ANTONIO - MAYAGUEZ -94-07-057,Hospital,29,Gobierno Municipal - Lucrativo -Corporación,"Medicare, LEY 101",Calle Dr. Ramón Emeterio Betances 18 Norte,Teléfono: 787-834-0050,Pueblo: Mayagüez,,75,71
HOSPITAL DR.RAMON E. BETANCES -MAYAGUEZ - 80-07-113,Hospital,6,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-0103","Bo. Sábalos, Carr. Núm. 2, Km. 15.7",Teléfono: 787-265-3900,Pueblo: Mayagüez,,391,189
HOSPITAL SAN CARLOS BORROMEO -MOCA - 93-07-006,Hospital,20,Privado - No Lucrativo -Corporación,Medicare / 40-0111,Moca,Teléfono: 787-877-8000,Pueblo: Moca,,108,106
HOSPITAL DAMAS - PONCE -97-07-136,Hospital,53,Privado - No Lucrativo -Corporación,"Medicare, JCAHO ",2213 Ponce by Pass,Teléfono: 787-840-8686,Pueblo: Ponce,,331,259
HOSPITAL DR. PILA - PONCE - 97-07-069,Hospital,52,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-0003",Ave. Las Américas,Teléfono: 787-848-5600,Pueblo: Ponce,,183,167
HOSPITAL DE PSIQUIATRIA FORENSE -PONCE - 94-07-067,Hospital,27,Gobierno Estatal,Medicaid,"Carr. 14, Centro Médico de Ponce",Teléfono: 787-844-0210,Pueblo: Ponce,,125,150
HOSPITAL SAN LUCAS I - PONCE -94-07-155,Hospital,54,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-0002",Calle Guadalupe Final,Teléfono: 787-840-4545,Pueblo: Ponce,,30,30
HOSPITAL SAN CRISTOBAL - PONCE -91-07-088,Hospital,17,Privado - Lucrativo -Corporación,Medicare,"Carr. 506, Bo. Coto Laurel",Teléfono: 787-848-2100,Pueblo: Ponce,,138,138
HOSPITAL EPISCOPAL SAN LUCAS II -PONCE,Hospital,5,Privado - No Lucrativo -Corporación,"Medicare, JCAHO",Carr. 14 Bo. Machuelo,Teléfono: 787-844-2080,Pueblo: Ponce,,427,334
HOSPITAL METROPOLITANO - RIO PIEDRAS,Hospital,67,Privado - Lucrativo -Corporación,"Medicare,Medicaid, JCAHO",Carr. 21 Núm. 1785 Las Lomas,Teléfono: 787-782-9999,Pueblo: San Juan,,180,132
MARCANO AMBULATORY CLINIC,Sala de Emergencias,5,Privado - Lucrativo - Corporación,,Calle Ariosto Cruz #115,Teléfono: 878-3151,Pueblo: Arecibo,,,
HOSPITAL DE PSIQUIATRÍA DR. RAMÓN FERNÁNDEZ MARINA - 94-07-134,Hospital,9,Gobierno Estatal,"Medicare, JCAHO / 40-4006",Bo. Monacillo,Teléfono: 787-766-4646,Pueblo: San Juan,,200,121
HOSPITAL INDUSTRIAL - RIO PIEDRAS -87-07-211,Hospital,25,Gobierno Estatal,DEPARTAMENTO DE SALUD,Centro Médico,Teléfono: 787-754-2525,Pueblo: San Juan,,271,76
HOSPITAL SAN JUAN CAPESTRANO - SAN JUAN,Hospital,55,Privado - Lucrativo -Corporación,"Medicare, JCAHO, ASSMCA / 40-4006","Carr. Estatal 877, Km. 1.6, Camino Las Lomas",Teléfono: 787-625-2900,Pueblo: San Juan,,208,108
HOSPITAL MUNICIPAL DE SAN JUAN -SAN JUAN - 83-11-009,Hospital,30,Gobierno Municipal,"Medicare, JCAHO / 40-4015",Centro Médico de Puerto Rico,Teléfono: 787-756-8535,Pueblo: San Juan,,450,186
HOSPITAL SAN FRANCISCO - RIO PIEDRAS - 95-07-053,Hospital,56,Privado - Lucrativo -Corporación,"Medicare, JCAHO / 40-4098",Ave. De Diego Núm. 371,Teléfono: 787-767-5100,Pueblo: San Juan,,160,148
Healthsouth Rehabilitation Hospital of San Juan - Río Piedras - 89-07-095,Hospital,38,Privado - Lucrativo - Corporación,Medicare,"Tercer Piso, Hospital Universitario, Centro Médico",,Pueblo: San Juan,,32,32
HOSPITAL CUIDADO AGUDO ESPECIALIZADO EN PACIENTES POLITRAUMATIZADOS - RÍO PIEDRAS - 88-08-056,Hospital,59,Gobierno Estatal,"Medicare, Medicaid, JCAHO","Ala Norte, Hospital Industrial, Bo. Monacillos Centro Médico",Teléfono: 787-777-3535,Pueblo: San Juan,,92,92
CENTRO CARDIOVASCULAR DE PUERTO RICO Y EL CARIBE,Hospital,36,Gobierno Estatal,"Medicare, JCAHO / 40-0124",Terrenos del Centro Médico,Teléfono: 787-754-8500,Pueblo: San Juan,,202,154
HOSPITAL ONCOLÓGICO RÍO PIEDRAS,Hospital,65,Privado - No Lucrativo - Corporación,"Medicare, JCAHO / 40-0012",Bo. Monacillos Centro Médico,Teléfono: 787-765-2382,Pueblo: San Juan,,143,52
HOSPITAL UNIVERSITARIO - RIO PIEDRAS - 82-07-121,Hospital,3,Gobierno Estatal,"Medicare, JCAHO / 40-0061",Centro Médico,Teléfono: 787-764-0101,Pueblo: San Juan,,390,253
HOSPITAL DE PSIQUIATRÍA FORENSE DE RIO PIEDRAS- RIO PIEDRAS - 82-07-045,Hospital,62,Gobierno Estatal - No Lucrativo - Otras No Pecuniarias,,Centro Médico,Teléfono: 787 767-0110,Pueblo: San Juan,,54,54
HOSPITAL PEDIATRICO UNIVERSITARIO - RIO PIEDRAS - 78-07-092,Hospital,40,Gobierno Estatal,"Medicare, JCAHO, ""Joint Comission""  / 40-3301",Centro Médico,Teléfono: 787-777-3535,Pueblo: San Juan,,215,165
HIMA SAN PABLO CUPEY,Hospital,68,Privado - Lucrativo - Corporación,Medicare,"CARR. NUM. 844, KM. 0.5CUPEY BAJO",Teléfono: 787-761-8383,Pueblo: San Juan,,,
HOSPITAL METROPOLITANO DE SAN GERMAN - SAN GERMAN - 00-07-018,Hospital,22,Privado - Lucrativo - Corporación,Medicare / 40-0126,Calle Javilla,Teléfono: 787-892-4242,Pueblo: San Germán,,82,82
HOSPITAL DE LA CONCEPCION - SAN GERMAN - 88-07-217,Hospital,57,Privado - Lucrativo - Corporación,"Medicare, JCAHO / 40-0021","Carr. Estatal Núm. 2, Km. 174.3",Teléfono: 787-892-1860,Pueblo: San Germán,,187,174
HOSPITAL PAVIA SANTURCE - SANTURCE- 97-07-020,Hospital,60,Privado - Lucrativo - Corporación,"Medicare, JCAHO / 40-0019","Calle Profesor Augusto Rodríguez 1462, Santurce",Teléfono: 787-641-2038,Pueblo: San Juan,,247,193
ASHFORD PRESBYTERIAN COMMUNITY HOSPITAL - SANTURCE - 04-03-046,Hospital,61,Privado - No Lucrativo - Corporación,"Medicare, JCAHO / 40-0001","Ave. Ashford 1451, Santurce Santurce",Teléfono: 787-721-2160,Pueblo: San Juan,,207,191
HOSPITAL AUXILIO MUTUO - HATO REY - 88-07-221,Hospital,41,Privado - Lucrativo - Corporación,"Medicare, JCAHO, ASHI-16-12-13 / 40-0016","Ave. Ponce de León Parada 37 1/2, Hato Rey",Teléfono: 787-758-2000,Pueblo: San Juan,,653,533
HOSPITAL DE NIÑOS SAN JORGE -SANTURCE - 95-07-013,Hospital,64,Privado - Lucrativo - Corporación,"Medicare, JCAHO","Calle San Jorge Núm. 258, Santurce",Teléfono: 787-727-1000,Pueblo: San Juan,,167,147
HOSPITAL PAVÍA - HATO REY - 00-07-137,Hospital,71,Privado - Lucrativo - Corporación,"Medicare, JCAHO / 40-1228","Ave. Ponce de León Núm. 435, Hato Rey",Teléfono: 787-754-0909,Pueblo: San Juan,,242,160
DOCTORS CENTER HOSPITAL SAN JUAN -SANTURCE - 93-07-102,Hospital,63,Privado - Lucrativo - Corporación,Medicare / 40-0006,"Calle San Rafael 1395, Parada 20",,Pueblo: San Juan,,154,125
HOSPITAL METROPOLITANO DE LA MONTAÑA - UTUADO - 05-07-152,Hospital,23,Privado - Lucrativo - Corporación,Medicare,Calle Isaac González,,Pueblo: Utuado,,90,53
"INSTITUTO MEDICO DEL NORTE, INC. D/B/A CENTRO MEDICO WILMA N. VAZQUEZ - VEGA BAJA - 81-07-025",Hospital,69,Privado - Lucrativo - Corporación,Medicare / 40-0115,"Carr. Núm. 2, Km. 39.5,",Teléfono: 787-858-1580,Pueblo: Vega Baja,,130,110
CENTRO DE SALUD FAMILI AR SUSANA CENTENO,Hospital,24,Gobierno Municipal,Medicare,"Carr 997 Km. 1.0, Barrio Destino",Teléfono: 787-741-0392,Pueblo: Vieques,,2,2
HOSPITAL PAVIA YAUCO 80-07-120,Hospital,26,Privado - Lucrativo - Corporación,"Medicare, JCAHO / 40-0110","Carr. 128, Km. 1.0",Teléfono: 787-856-1000,Pueblo: Yauco,,105,105
SALA DE EMERGENCIA - CENTRO DE SALUD FAMILIAR DE A,Sala de Emergencias,11,Gobierno Estatal,,Calle Defendini #4,Teléfono: 787-829-2860,Pueblo: Adjuntas,,,
SALA DE EMERGENCIAS BARRAZAS,Sala de Emergencias,7,Gobierno Municipal,,CARR. PR 853 KM 11.7BO. BARRAZAS,,Pueblo: Carolina,,,
MANAGEMENT INTEGRATED SOLUTIONS,Sala de Emergencias,15,Gobierno Estatal - Lucrativo - Corporación,,Calle Antonio Alcazar Núm. 27,Teléfono: 279-1278,Pueblo: Florida,,,
SALA DE EMERGENCIA - CDT LOIZA,Sala de Emergencias,2,Gobierno Estatal,,"Carr. 188, Km. 5, Hm. 6",Teléfono: 876-2245,Pueblo: Loíza,,,
SALA DE EMERGENCIA CSF PATILLAS,Sala de Emergencias,1,Gobierno Estatal,,"Calle Riekfol, Salida hacia Maunabo",Teléfono: 787-838-4320,Pueblo: Patillas,,,
CENTRO SAN CRISTOBAL COTO LAUREL,Sala de Emergencias,3,Privado - Lucrativo - Corporación,,CARR. PR. 14 AVE. CENTRALCOTO LAUREL,Teléfono: (787)842-7856,Pueblo: Ponce,,,
SALA DE URGENCIA PSIQUIATRICA SALA ESTABILIZACION,Sala de Emergencias,16,Privado - Lucrativo - Corporación,,Ponce By Pass Carr. PR 2 Km. 23.8,Teléfono: 787-689-6012,Pueblo: Ponce,,,
FAMILY HEALTH GROUP SAN SEBASTIAN,Sala de Emergencias,4,Privado - Lucrativo - Corporación,"Medicare, Medicaid, RENOVACION FIRST COST",Ave. Emerito EstradaRivera Núm. 901,Teléfono: 787-280-3074,Pueblo: San Sebastián,,,
CENTRO DE MEDICINA PRIMARIA DE VEGA ALTA,Sala de Emergencias,14,Gobierno Municipal - Lucrativo - Corporación,,Calle Luis Muñoz Rivera #3,Teléfono: 787-883-0124,Pueblo: Vega Alta,,,
SERV. INTEGRADOS DE REH. DEL OESTE,Unidad de Cuidado Prolongado,6,Privado - Lucrativo - Corporación,Medicare,"CARR. 344, KM. 0.7 INTERIOR",Teléfono: 787-849-2179,Pueblo: Hormigueros,,,
SNF CASA DEL VETERANO - JUANA DIAZ - 97-08-045,Unidad de Cuidado Prolongado,9,Privado - Lucrativo - Corporación,,"Bo. Amuelas Núm. 115, Carr. 592, Km. 5.6",Teléfono: (787)758-5760,Pueblo: Juana Díaz,,,
HOSPITAL DAMAS SKILLED NURSING FACILITY - PONCE - 87-08-091,Unidad de Cuidado Prolongado,3,Privado - No Lucrativo - Corporación,"Medicare, Medicaid, JCAHO / 40-5023",Ponce By Pass,Teléfono: (787)840-8686,Pueblo: Ponce,,,
HOSPITAL SAN GERARDO RIO PIEDRAS,Unidad de Cuidado Prolongado,5,Privado - Lucrativo - Corporación,"Medicare, LEY 101 - DEPARTAMENTO DE SALUD","Carretera 844, Km. 0.5, Cupey Bajo",Teléfono: 787-761-8383,Pueblo: San Juan,,,
CENTRO MEDICO WILMA N. VAZQUEZ - VEGA BAJA - 87-08-199,Unidad de Cuidado Prolongado,4,Privado - Lucrativo - Corporación,Medicare / 40-5025,"Carr. Núm. 2, Km. 39.5",Teléfono: (787)858-2580,Pueblo: Vega Baja,,,
FUNDACION MODESTO GOTAY,Facilidades Medicas para Personas con Retardación mental (Retardación mental),3,Privado - No Lucrativo- Corporación,DEPARTAMENTO DE SALUD,"KM. 4.6 CARR.876BO, LAS CUEVAS",Teléfono: 787-761-6244,Pueblo: Trujillo Alto,,,
